WardID,age_0_10,age_10_20,age_20_30,age_30_40,age_40_50,age_50_60,age_60_70,age_70_80,age_80_plus
79800024,0.185805503,0.136913999,0.294532657,0.186203624,0.109160531,0.06140144,0.019358762,0.004986999,0.001636485
79800025,0.167656029,0.148339666,0.238828418,0.170729219,0.109163639,0.090116226,0.044521005,0.02162434,0.009021458
79800026,0.176410142,0.143886344,0.227088751,0.17849735,0.118882502,0.077054385,0.04043341,0.026477244,0.011269872
79800027,0.163554382,0.14731361,0.213592057,0.165740882,0.121362991,0.091774794,0.053916292,0.031984183,0.010760808
79800028,0.171903097,0.140474082,0.228249636,0.18208256,0.116257799,0.08606366,0.039935346,0.02209452,0.012939299
79800029,0.168826349,0.170150841,0.214920078,0.173411278,0.121172533,0.082755902,0.04120871,0.018460015,0.009094295
79800030,0.175544943,0.12898365,0.262514237,0.191658601,0.110532005,0.072093355,0.037374381,0.016003571,0.005295257
79800031,0.173968416,0.13009051,0.244513261,0.195513587,0.11196097,0.075067018,0.043600171,0.01838367,0.006902399
79800032,0.184731469,0.106300966,0.237366514,0.245715016,0.114441091,0.057605525,0.030519607,0.017029232,0.006290581
79800033,0.166701239,0.144021047,0.211537405,0.168982539,0.114255291,0.093995072,0.057279127,0.031248308,0.01197997
79800034,0.162752521,0.13594054,0.244467347,0.183648918,0.115776285,0.089224229,0.040951128,0.018089873,0.009149158
79800035,0.18054834,0.150111551,0.210308224,0.168576843,0.109969514,0.094629369,0.049862004,0.023433164,0.012560991
79800036,0.174469816,0.142531928,0.218576387,0.164091323,0.113334426,0.093374737,0.047933412,0.029351824,0.016336146
79800037,0.173681399,0.14291092,0.254126011,0.176750178,0.109389064,0.08137699,0.038017733,0.015929511,0.007818195
79800038,0.147195186,0.130245009,0.240744618,0.175380503,0.117457506,0.097205127,0.046211885,0.025436264,0.020123902
79800039,0.16934206,0.135450409,0.222357071,0.180014912,0.113231399,0.085980115,0.055269799,0.026421606,0.011932628
79800040,0.176329454,0.144282242,0.246398612,0.179771724,0.114575436,0.075209864,0.038811244,0.01610737,0.008514055
79800041,0.171060429,0.14146654,0.224646409,0.176660073,0.108738025,0.090520163,0.048834768,0.025411511,0.012662082
79800042,0.172858217,0.142651023,0.232159554,0.18207275,0.107273187,0.084395272,0.044943186,0.022622786,0.011024026
79800043,0.16852899,0.142672762,0.221933531,0.168097895,0.11543935,0.091984626,0.051985382,0.025873562,0.013483902
79800044,0.195111658,0.150032941,0.255910329,0.177786735,0.123087171,0.070784232,0.020407408,0.005263106,0.001616419
79800045,0.17670802,0.142038199,0.225939151,0.176342226,0.118540814,0.072545759,0.045540149,0.033012556,0.009333126
79800046,0.183175057,0.143482001,0.236305642,0.174725882,0.110984492,0.0827717,0.036446888,0.020907007,0.011201331
